service_id,date,exception_type
229276,20240430,1
229286,20240430,1
229296,20240430,1
229306,20240430,1
229316,20240430,1
229326,20240430,1
229334,20240430,1
229344,20240430,1
229354,20240430,1
229364,20240430,1
229374,20240430,1
229384,20240430,1
229394,20240430,1
229404,20240430,1
229414,20240430,1
229424,20240430,1
229434,20240430,1
229444,20240430,1
229454,20240430,1
229464,20240430,1
229474,20240430,1
229484,20240430,1
229494,20240430,1
229504,20240430,1
229514,20240430,1
229524,20240430,1
229534,20240430,1
229540,20240430,1
229550,20240430,1
229560,20240430,1
229570,20240430,1
229580,20240430,1
229586,20240430,1
229592,20240430,1
229602,20240430,1
229612,20240430,1
229622,20240430,1
229632,20240430,1
229642,20240430,1
229652,20240430,1
229662,20240430,1
229668,20240430,1
229674,20240430,1
229690,20240430,1
229700,20240430,1
229710,20240430,1
229716,20240430,1
229722,20240430,1
229728,20240430,1
229736,20240430,1
229746,20240430,1
229756,20240430,1
229766,20240430,1
229776,20240430,1
229786,20240430,1
229796,20240430,1
229806,20240430,1
229816,20240430,1
229826,20240430,1
229834,20240430,1
229840,20240430,1
229846,20240430,1
229860,20240430,1
229870,20240430,1
229886,20240430,1
229896,20240430,1
229906,20240430,1
229916,20240430,1
229926,20240430,1
229942,20240430,1
229952,20240430,1
229962,20240430,1
229972,20240430,1
229982,20240430,1
229992,20240430,1
230002,20240430,1
230012,20240430,1
230022,20240430,1
230032,20240430,1
230042,20240430,1
230052,20240430,1
230062,20240430,1
230072,20240430,1
230082,20240430,1
230088,20240430,1
230098,20240430,1
230104,20240430,1
230114,20240430,1
230124,20240430,1
230134,20240430,1
230144,20240430,1
230154,20240430,1
230164,20240430,1
230174,20240430,1
230184,20240430,1
230190,20240430,1
230200,20240430,1
230210,20240430,1
230216,20240430,1
230222,20240430,1
230228,20240430,1
230238,20240430,1
230248,20240430,1
230258,20240430,1
230268,20240430,1
230274,20240430,1
230280,20240430,1
230290,20240430,1
230296,20240430,1
230306,20240430,1
230316,20240430,1
230326,20240430,1
230336,20240430,1
230342,20240430,1
230348,20240430,1
230354,20240430,1
230364,20240430,1
230370,20240430,1
230380,20240430,1
230390,20240430,1
230400,20240430,1
230406,20240430,1
230416,20240430,1
230426,20240430,1
230436,20240430,1
230446,20240430,1
230456,20240430,1
230462,20240430,1
230468,20240430,1
230474,20240430,1
230484,20240430,1
230494,20240430,1
230500,20240430,1
230506,20240430,1
230516,20240430,1
230521,20240430,1
230531,20240430,1
230541,20240430,1
230551,20240430,1
230561,20240430,1
230571,20240430,1
230581,20240430,1
230591,20240430,1
230601,20240430,1
230611,20240430,1
230621,20240430,1
230631,20240430,1
230641,20240430,1
230651,20240430,1
230661,20240430,1
230671,20240430,1
230681,20240430,1
230686,20240430,1
230696,20240430,1
230706,20240430,1
230716,20240430,1
230726,20240430,1
230736,20240430,1
230741,20240430,1
230746,20240430,1
230751,20240430,1
230761,20240430,1
230771,20240430,1
230781,20240430,1
230791,20240430,1
230801,20240430,1
230811,20240430,1
230821,20240430,1
229278,20240501,1
229288,20240501,1
229298,20240501,1
229308,20240501,1
229318,20240501,1
229336,20240501,1
229346,20240501,1
229356,20240501,1
229366,20240501,1
229376,20240501,1
229386,20240501,1
229396,20240501,1
229406,20240501,1
229416,20240501,1
229426,20240501,1
229436,20240501,1
229446,20240501,1
229456,20240501,1
229466,20240501,1
229476,20240501,1
229486,20240501,1
229496,20240501,1
229506,20240501,1
229516,20240501,1
229526,20240501,1
229542,20240501,1
229552,20240501,1
229562,20240501,1
229572,20240501,1
229594,20240501,1
229604,20240501,1
229614,20240501,1
229624,20240501,1
229634,20240501,1
229644,20240501,1
229654,20240501,1
229692,20240501,1
229702,20240501,1
229738,20240501,1
229748,20240501,1
229758,20240501,1
229768,20240501,1
229778,20240501,1
229788,20240501,1
229798,20240501,1
229808,20240501,1
229818,20240501,1
229848,20240501,1
229856,20240501,1
229862,20240501,1
229872,20240501,1
229888,20240501,1
229898,20240501,1
229908,20240501,1
229918,20240501,1
229928,20240501,1
229944,20240501,1
229954,20240501,1
229964,20240501,1
229974,20240501,1
229984,20240501,1
229994,20240501,1
230004,20240501,1
230014,20240501,1
230024,20240501,1
230034,20240501,1
230044,20240501,1
230054,20240501,1
230064,20240501,1
230074,20240501,1
230090,20240501,1
230106,20240501,1
230116,20240501,1
230126,20240501,1
230136,20240501,1
230146,20240501,1
230156,20240501,1
230166,20240501,1
230176,20240501,1
230192,20240501,1
230202,20240501,1
230230,20240501,1
230240,20240501,1
230250,20240501,1
230260,20240501,1
230282,20240501,1
230298,20240501,1
230308,20240501,1
230318,20240501,1
230328,20240501,1
230356,20240501,1
230372,20240501,1
230382,20240501,1
230392,20240501,1
230408,20240501,1
